messages
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: FEARFUL\ntext: 에디야, 방금 무슨 소리 못 들었어?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 방금 무슨 소리 못 들었어?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.1, \""ethogram\"": \""v_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: FEARFUL\ntext: 에디야 방금 무슨 소리 못 들었어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""v_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 방금 무슨 소리 못 들었어""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.2, \""ethogram\"": \""v_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: FEARFUL\ntext: 나 무서워. 불 좀 빨리 켜줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 무서워. 불 좀 빨리 켜줘.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.2, \""ethogram\"": \""t_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: FEARFUL\ntext: 나 무서워 불 좀 빨리 켜줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 무서워 불 좀 빨리 켜줘""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.2, \""ethogram\"": \""t_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: FEARFUL\ntext: 누가 밖에서 문을 두드리는 것 같아.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""v_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 누가 밖에서 문을 두드리는 것 같아.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.2, \""ethogram\"": \""v_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: FEARFUL\ntext: 누가 밖에서 문을 두드리는 것 같아""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""v_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 누가 밖에서 문을 두드리는 것 같아""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.2, \""ethogram\"": \""v_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: FEARFUL\ntext: 에디야, 나 혼자 두지 마. 제발.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""a_04\""\n}""}]"
