messages
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 지금 몇 시야?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.1,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 지금 몇 시야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.1,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 날씨 좀 알려줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 날씨 좀 알려줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 내일 아침 7시에 알람 맞춰줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.1,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 내일 아침 7시에 알람 맞춰줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 거실 불 좀 켜줄래?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.1,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 거실 불 좀 켜줄래""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.1,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 음악 소리 조금만 줄여줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 음악 소리 조금만 줄여줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 주요 뉴스 브리핑 해줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 주요 뉴스 브리핑 해줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 이번 주말 일정 어떻게 되지?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 이번 주말 일정 어떻게 되지""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 배터리가 얼마나 남았어?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 배터리가 얼마나 남았어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""s_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 나 다녀올게.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 3,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 나 다녀올게""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 3,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 집에 왔어.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 3,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 집에 왔어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 3,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 지금 텔레비전 켜줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 지금 텔레비전 켜줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 채널 11번으로 돌려줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 채널 11번으로 돌려줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 유튜브에서 요리 영상 찾아줘.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 유튜브에서 요리 영상 찾아줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 5,\n\""intensity\"": 0.2,\n\""ethogram\"": \""a_04\""\n}""}]"
