messages
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 엄마야! 깜짝이야!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.8,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 엄마야! 깜짝이야!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.4, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 엄마야 깜짝이야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 엄마야 깜짝이야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.2, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 에디야, 너 언제부터 거기 있었어?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.4,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 너 언제부터 거기 있었어?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.0, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 에디야 너 언제부터 거기 있었어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.4,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 너 언제부터 거기 있었어""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.0, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 헐, 대박! 이거 진짜야?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 헐, 대박! 이거 진짜야?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.2, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 헐 대박 이거 진짜야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.7,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 헐 대박 이거 진짜야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.3, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 세상에! 눈이 오잖아!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 세상에! 눈이 오잖아!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 세상에 눈이 오잖아""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 세상에 눈이 오잖아""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 어? 깜짝이야, 방금 전기가 나간 거야?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 어? 깜짝이야, 방금 전기가 나간 거야?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.2, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 어 깜짝이야 방금 전기가 나간 거야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 어 깜짝이야 방금 전기가 나간 거야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.2, \""ethogram\"": \""t_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 와! 무지개다! 엄청 크네!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와! 무지개다! 엄청 크네!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 와 무지개다 엄청 크네""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와 무지개다 엄청 크네""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: SURPRISED\ntext: 헉, 컵 깨졌다! 안 다쳤어?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 11,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 헉, 컵 깨졌다! 안 다쳤어?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 11, \""intensity\"": 0.2, \""ethogram\"": \""t_01\""}""}]"
